,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,48.775,9.941,31.801,68.599,0.103,0.075,9366.0,3012.0,1.0
slopetab_nopic_clicks,10.775,10.241,-7.968,30.657,0.107,0.128,9096.0,2372.0,1.0
slopelist_nopic_clicks,9.333,10.173,-9.99,27.272,0.099,0.132,10468.0,2580.0,1.0
slopeparagraph_nopic_clicks,3.179,9.946,-14.797,23.399,0.104,0.174,9117.0,2678.0,1.0
slopetab_pic_clicks,13.168,10.035,-6.43,31.168,0.106,0.117,9062.0,2342.0,1.0
slopelist_pic_clicks,6.961,9.885,-10.925,25.939,0.098,0.133,10186.0,2882.0,1.0
slopeparagraph_pic_clicks,4.928,10.083,-14.17,24.188,0.101,0.167,10045.0,2853.0,1.0
sigma,949.776,5.038,940.189,959.186,0.052,0.037,9453.0,2921.0,1.0
